,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,isolates,spp,Latitude,Longitude
02N7285,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.13E-17,02N7285,oreganus,64.200841,-149.493681
02N7286,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,2.53E-16,02N7286,oreganus,64.200841,-149.49368
02N7287,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-6.76E-16,02N7287,oreganus,64.200841,-149.493679
02N7288,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-3.61E-16,02N7288,oreganus,64.200841,-149.493678
02N7289,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.43E-17,02N7289,oreganus,64.200841,-149.493677
02N7290,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,1.62E-16,02N7290,oreganus,64.200841,-149.493676
02N7291,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,4.32E-16,02N7291,oreganus,64.200841,-149.493675
02N7294,0.634082552,0.018928549,-0.549142829,0.875708016,-0.014982112,-0.015279267,0.442497673,0.099743177,-0.001999162,-0.208394539,02N7294,oreganus,64.200841,-149.493674
02N7295,0.634082552,0.018928549,-0.549142829,0.875708016,-0.014982112,-0.015279267,0.442497673,0.099743177,-0.001999162,0.208394539,02N7295,oreganus,64.200841,-149.493673
03N4309,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,3.26E-16,03N4309,oreganus,38.770146,-121.640625
04N5027,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.24E-16,04N5027,oreganus,53.45359,-130.149871
04N5029,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,1.17E-16,04N5029,oreganus,53.45359,-130.14987
04N5030,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.91E-16,04N5030,oreganus,53.45359,-130.149869
04N5031,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,0.29700076,04N5031,oreganus,53.45359,-130.149868
04N5035,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-3.71E-17,04N5035,oreganus,53.45359,-130.149867
04N5043,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,2.64E-16,04N5043,oreganus,53.993429,-130.487529
04N5044,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,-0.427237854,04N5044,oreganus,53.993429,-130.487528
04N5045,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,3.05E-18,04N5045,oreganus,53.993429,-130.487527
04N5050,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,0.430817349,04N5050,oreganus,53.993429,-130.487526
04N5051,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.38E-16,04N5051,oreganus,53.993429,-130.487525
04N5052,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-5.02E-16,04N5052,oreganus,53.993429,-130.487524
04N5054,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,0.214300124,04N5054,oreganus,53.993429,-130.487523
04N5055,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,-0.088533138,04N5055,oreganus,53.993429,-130.487522
04N5056,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,-0.007119627,04N5056,oreganus,53.993429,-130.487521
05N0500,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.38E-16,05N0500,mearnsi,43.981768,-109.514936
05N0501,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.30E-16,05N0501,mearnsi,43.981768,-109.514935
05N0502,-0.507507882,-0.108133515,0.008040053,0.013502255,-0.633128235,-0.059672687,-0.015002881,0.000479183,-0.007901614,6.47E-17,05N0502,mearnsi,43.981768,-109.514934
05N0503,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-7.96E-17,05N0503,mearnsi,43.981768,-109.514933
05N0504,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-8.83E-17,05N0504,mearnsi,43.981768,-109.514932
05N0506,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,0.077264201,05N0506,mearnsi,43.981768,-109.514931
05N0507,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,-0.1663851,05N0507,mearnsi,43.981768,-109.51493
05N0509,-0.645498335,2.375279127,-0.007018001,-0.001770712,-0.069240127,-0.020533276,-0.008292837,-0.001119046,0.003254004,-3.84E-17,05N0509,mearnsi,43.981768,-109.514929
05N0522,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-8.22E-18,05N0522,aikeni,44.48614,-104.45108
05N0523,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-6.72E-17,05N0523,aikeni,44.48614,-104.45108
05N0524,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-4.64E-17,05N0524,aikeni,44.59476,-104.41141
05N0525,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-3.94E-17,05N0525,aikeni,44.59476,-104.41141
05N0526,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,2.19E-18,05N0526,aikeni,44.59476,-104.41141
05N0527,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,5.94E-17,05N0527,aikeni,44.50185,-104.45238
05N0528,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,2.30E-17,05N0528,aikeni,44.50185,-104.45238
05N0529,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,3.52E-17,05N0529,aikeni,44.50185,-104.45238
05N0538,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.11E-16,05N0538,caniceps,40.8046,-110.87705
05N0539,0.64191829,0.02582014,0.622617104,0.084419113,-0.07566046,0.568088956,0.161780365,0.038778369,0.207236429,-2.40E-17,05N0539,caniceps,40.8046,-110.87705
05N0541,0.64191829,0.02582014,0.622617104,0.084419113,-0.07566046,0.568088956,0.161780365,0.038778369,0.207236429,3.15E-17,05N0541,caniceps,40.8046,-110.87705
05N0542,0.64191829,0.02582014,0.622617104,0.084419113,-0.07566046,0.568088956,0.161780365,0.038778369,0.207236429,-1.71E-17,05N0542,caniceps,40.8046,-110.87705
05N0543,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.08E-16,05N0543,caniceps,40.8046,-110.87705
05N0544,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-8.16E-17,05N0544,caniceps,40.8046,-110.87705
05N0545,0.738495707,0.035322463,1.129027801,0.170956567,-0.026965781,-0.01719472,0.344829071,0.117483346,-0.364922744,1.48E-16,05N0545,caniceps,40.8046,-110.87705
05N0546,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-2.14E-16,05N0546,caniceps,40.8046,-110.87705
05N0547,-0.562943984,-0.164329259,0.014959824,0.030575891,-1.627881662,-0.180473608,-0.053415708,-0.004316399,0.013393178,-8.32E-17,05N0547,caniceps,40.8046,-110.87705
05N0571,0.607314212,0.016038259,0.435914084,0.052515641,0.05062426,-0.58181985,0.046329025,-0.0124045,-0.569064585,-3.17E-16,05N0571,dorsalis,34.01638,-109.6199
05N0572,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.35E-16,05N0572,dorsalis,34.01638,-109.6199
05N0573,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,0.206244117,05N0573,dorsalis,34.01638,-109.6199
05N0574,0.632179791,0.017450984,-0.387630535,-0.870066682,-0.054446481,-0.030201109,0.760882182,0.150630928,-0.003378597,1.78E-17,05N0574,dorsalis,34.01638,-109.6199
05N0575,0.566525597,0.009932586,-0.1311704,-0.077042482,0.004961284,0.010475968,-0.486771728,0.82069889,-0.005245305,-2.98E-17,05N0575,dorsalis,34.01638,-109.6199
05N0582,0.60105273,0.014467124,-0.297979925,-0.627143237,-0.037811112,-0.020093477,0.487295663,0.066954355,-0.000692658,-1.75E-17,05N0582,dorsalis,33.92689,-109.45343
05N0583,0.60105273,0.014467124,-0.297979925,-0.627143237,-0.037811112,-0.020093477,0.487295663,0.066954355,-0.000692658,-1.10E-17,05N0583,dorsalis,33.92689,-109.45343
05N0584,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.11E-16,05N0584,dorsalis,33.92689,-109.45343
05N0585,0.566525597,0.009932586,-0.1311704,-0.077042482,0.004961284,0.010475968,-0.486771728,0.82069889,-0.005245305,-8.57E-18,05N0585,dorsalis,33.92689,-109.45343
06N25589,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.47E-16,06N25589,dorsalis,33.92689,-109.45343
06N26275,0.602861803,0.015692047,-0.422137897,0.631209504,-0.010404535,-0.01016564,0.283391045,0.044335119,-0.000409855,-2.76E-16,06N26275,oreganus,43.89835,-114.90118
06N26278,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.05E-16,06N26278,oreganus,43.89835,-114.90118
06N26281,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-1.28E-16,06N26281,oreganus,43.89835,-114.90118
06N26283,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-6.95E-17,06N26283,oreganus,43.89835,-114.90118
06N26284,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-5.47E-17,06N26284,oreganus,43.89835,-114.90118
06N26285,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-6.05E-17,06N26285,oreganus,43.89835,-114.90118
06N26286,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-8.83E-17,06N26286,oreganus,43.89835,-114.90118
06N26287,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-8.29E-17,06N26287,oreganus,43.89835,-114.90118
06N26290,-0.454801324,-0.061546412,0.002720676,0.001195595,0.057692049,0.02069888,0.009598041,0.002610784,-0.012267334,-4.45E-17,06N26290,oreganus,43.89835,-114.90118
06N26291,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,-0.328177156,06N26291,oreganus,43.89835,-114.90118
06N26292,-0.44647168,-0.073371443,0.191478911,0.035154591,0.142783831,-0.547265568,0.081194844,0.051617715,0.771075305,-1.76E-16,06N26292,oreganus,43.89835,-114.90118
06N26293,-0.47835438,-0.074240426,0.003539221,0.001658708,0.08307423,0.031111049,0.01498675,0.005873626,-0.059836718,0.298650696,06N26293,oreganus,43.89835,-114.90118
SCJU-3824,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,-0.2263335,SCJU-3824,hyemalis,37.375136,-80.522752
SCJU-3826,0.615643856,0.004213227,0.624672319,0.086474637,0.135716042,-1.149784298,0.117925827,0.036602432,0.214278054,2.35E-17,SCJU-3826,hyemalis,37.375136,-80.522751
SCJU-3827,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.78E-16,SCJU-3827,hyemalis,37.375136,-80.52275
SCJU-3828,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.90E-16,SCJU-3828,hyemalis,37.375136,-80.522749
SCJU-3829,0.510736795,0.006535936,-0.070496613,-0.034021813,0.001929581,0.003463826,-0.136719681,-0.091109477,0.003094588,-1.71E-16,SCJU-3829,hyemalis,37.375136,-80.522748
SCJU-3830,0.537186613,0.007883979,-0.091706311,-0.047200136,0.002778519,0.005206236,-0.213479366,-0.204974044,0.015094561,-0.280490871,SCJU-3830,hyemalis,37.375136,-80.522747